English,Kikuyu
• Trees develop more resistance to pests and soil diseases,Mītī nīīhotaga gwītiria tūtambi na mīrimū ya kuuma tīīri-inī.
• Improves the genetic and physiological properties of trees,Nīgūtūmaga mītī īkorūo na hinya nīūndū wa kūgarūrīra ūrīa īrutaga wīra.
• Increases productivity,Mītī nīyongagīrīra maciaro.
• Allows homogeneity in fruit production,Kūhotithia mūbango wa kūhanda na gūtungata mīembe ituīke īmwe.
What is top working and its benefits?,Hihi top working nīkuuga atīa na kūrehaga ūguni ūrīkū?
Top working is the practice of grafting the top portion of a mature mango tree or one large enough to have several branches.,"īno nī njīra ya gūciarithania mūembe mūkūrū mwena wa naigūrū, kana ūrīa mūnene ūrī na honge ciigana ūna."
The procedure involves decapitating a mature tree so that new branches emerge.,Gūkū nī gūtinia mūtī mūkūrū nīguo honge njerū ciume.
The technique is used to convert an already established long-lived mango tree into another variety or cultivar.,Nī mūtaratara ūhūthīkaga kūgarūra mūembe mūkūrū ūtuīke wa mūthemba ūngī.
The benefits include: One tree may produce different varieties of fruit,Mawega ma ūndū ūyū nī hamwe na atī mūtī ūmwe no ūkūrīrio mīthemba ngūrani ya maembe.
• Takes a shorter period for the tree to mature,Mūtī woyaga ihinda inini gūkūra.
• Helps maintain a healthy plant with a strong root system,Mūtī nīūkoragwo na hinya nīūndū wa gītina kīrī na mīri mīega.
• Helps rejuvenate old mango trees,Nīkwerūhagia mītī mīkūrū.
What materials are needed for mango grafting?,Nī indo īrīkū ībatarainie hīndī ya gūciarithania mīembe?
"Usually, mango seedlings are grafted using top/ wedge grafting method.",Kaingī mīūngūrwa ya mīembe īciarithanagio na njīra ya kūmīrenga mītwe.
"Required tools and materials: Pruning scissors, scalpel or grafting knife.",Indo iria ībataranagia nī hamwe na magathī ma gūceha na kahiū.
Grafting tape or soft clear polythene bag cut in strips.,Tepu ya kūgwatia kana tūratathi twa mūnyore tūta rīna rangi na tūceke.
Which month is best for mango grafting?,Mīembe yagīrīirwo gūciarithanio mweri-inī ūrīkū?
Propagation of mango by modified cleft grafting during 15 June showed higher percentage of survival in compare with cleft and veneer grafting irrespective of varieties.,Gūciarithania mūembe na Modified Cleft Grafting mweri 15 wa gatandatū nīwonanirie kūgwatania wega gūkīra Cleft na Veneer gūtakūmakania nī mūthemba ūrīkū wa mūtī.
"The percentage of success was, however, higher in June by modified cleft grafting but in August by veneer grafting","O na kūrī ūguo, gīcunjī kīa ūgacīru nīkīarī kīnene mūno mweri-inī wa Juni na njīra ya modified cleft grafting no mwerī-inī wa īnana, gūciarithania na veneer gūkīgacīra makīria."
Which grafting technique is best for mango?,Hihi nī njīra īrīkū njega ya gūciarithania mīembe?
"A wide range of graft types can be used on mangoes, but the two most common are the whip and the cleft or wedge graft.","Nīkūrī njīra nyingī cia gūciarithania mīembe, no njīra īrīa īhūthagīrūo kaingī nī īrīa mūrūri wīkīragwo thīinī wa cleft kana wedge."
"The whip graft is used widely by nursery operators and other highly experienced operators, while the wedge graft is used by most other grafters.","Kūhūthīra whip gūciarithania mīembe kūhūthagīrwo mūno nī arīa marutaga wīra natharī-inī cia mītī na angī arīa marī na ūmenyeru mūingī, no arīa angī maciarithanagia makīhūthīra njīra ya wedge."
Both grafts are quite easy to do.,Njīra cīerī cia gūciarithania nī hūthū.
When is the main production period of mangoes in Kenya?,Kīmera kīrīa kīnene kia maembe Kenya kīambagīrīria rī?
There are two supply seasons.,Gūkoragwo īmera īgīrī:
The first and main season runs from November to February and the second from June to August.,Kia mbere kīambagīrīria mwerī wa ikūmi na ūmwe nginya wa mweri wa kerī nakīo gīa keerī ngīkambīrīria mweri wa juni nginya wa īnana.
"In areas of higher altitude such as Murang'a and Mwea(Central Province), the harvest season is 4—6 weeks later than at the coast areas, with a peak in February and March.",Matūra marīa marī igūrū ta Murang’a na Mwea (gītaro gia gatagatī gia būrūri wa Kenya) maembe magethagwo wiki inya nginya ithathatū thutha wa matūra ma gīcua-inī kūrīa maembe maingīhaga mweri-inī wa kerī nginya wa ītatū.
"The mango picking season in Kenya competes with that of other mango producing countries (Mexico, Brazil, India, Pakistan, Israel, South Africa) and extends over a period of between 5 and 6 months","Kīmera kia maembe kia būrūri wa Kenya kīrīa kīngīikara mīeri ītano nginya ītandandū, nī gīcindanaga na īmera cia mabūrūrī mangī ta Mexico, Brazil, India, Pakistan, Israel, South Africa."
Why do I have a lower production of mangoes?,Nīkīī kīratūma magetha kuuma mīembe-inī yakwa manyihe?
"Productivity depends on a number of factors, including quantity of previous crop, weather and soil conditions, altitude, control of pests and diseases, fertilization and cultivar.","Kūnyiha kwa magetha kūrehagwo nī maundū maingī hamwe na mūigana wa magetha ma kīmera kīhītūku, ūrīa rīera na tīīrī ihana, matūra kūrīa maembe marakūrīrio, mīrimū na tūtambi, ūhei wa bataraitha na mūthemba wa mīembe."
"Even in the case of the same cultivar, yields vary greatly because mango is grown under widely varying agro climatic conditions and cultural practices.","Ona angīkorwo mīembe nīya mūthemba ūmwe ,mūigana wa magetha no ūkorwo na ūtiganu nīūndū mīembe īkūragio matūra-inī marī na rīera na mītungatīre ītiganīte."
Why do mangoes production differ in a year?,Nīkīī gītūmaga magetha ma maembe makorūo marī na ngūrani o mwaka?
Biennial or irregular bearing occurs often with the mango and it is common for some cultivars to bear heavily in one year and sparsely the next.,Kaingī mīembe īciaraga maita merī o mwaka kana īgaciara ītekūrūmīrīra mūtugo ūyū na nīngī nī harī mīthemba īmwe ya mīembe iciaraga mūno mwaka ūmwe īgacoka īkanyihia maciaro mwaka ūrīa ūmīrīire.
"One of the reasons for this phenomenon is that trees over-bear in one year, thus inhibiting adequate flower bud formation the following year.",Gītūmi kīmwe nīatī mīembe īngīcira īkīrie nī īremagwo kūruta kīro mwaka ūrīa ūrūmīrīire.
"Under these circumstances, it is difficult to get accurate local long-term yield records.","Nīūndū wa maūndū macio, ti ūndū mūhūthū kūmenya ūhoro wīgiī magetha ma ihinda iraya."
"However, it is well known that yields of 25 t/ha and more for Kent, Sabine, Tommy Atkins and Keitt are not uncommon.","Ona kūrī ūguo, hactare īmwe no īgethwo tani mīrongo īrī na ītano ona makīria ya maembe mūthemba wa Kent, Sabine, Tommy Atkins na Keītt."
How long do mangoes take to mature after flowering?,Mīembe yoyaga ihinda rīigana atīa gūkūra thutha wa kūruta kīro?
Depending on cultivars and environmental conditions it takes 90 to 160 days after flowering for Kenya mangos to reach maturity.,"Kūringana na mūthemba na marīa marigicīirie mūgūnda, mīembe no yoe thikū 90 – 160 gūkūra kuuma rīrīa kīro kīaumire."
Not all fruits on one tree will ripen at the same time.,Maembe marī mūti-inī ūmwe matiīruhanagīra.
A great problem is to determine precisely the stage at which the fruit is ripe for picking.,Thīīna ūrīa mūnene nī kūmenya ihinda rīrīa iembe rīagīrīire gūtuo rīarīkia gūkūra.
When is the best time to pick or harvest mango fruits?,Maembe mabatiī gūtuo kana kūgethwo rī?
The fruits are generally picked when they begin to change colour.,Kaingī maembe matuagwo magarūrūka rangi?
This may occur first in a small area or the change will cover most of the fruit's surface.,Iembe no rīambīrīrie kūgarūrūka rangi handū hanini rangi ūcio ūcoke ūtūngane itunda rīothe.
What is the yield of mangoes planted in one īka?,īka īmwe ya mīembe igethagwo maembe maigana atīa?
"An īka mango trees yield is from 12,000 kgs to 18,000kg (500 to 800 fruits per tree per year) in a year for a 5-year orchard","īka īmwe ya mīembe īgethagwo maembe gatagatī-inī ga kiro 12,000-18,000 (maembe 500 – 800 o mūembe o mwaka) kuuma kūrī mītī ya ūkūrū wa mīaka ītano."
What is desapping or delatexing,Hihi desapping kana delatexing nī gwīka atīa?
"It is the removal of fresh latex from the fruit by either inverting freshly de-stemmed fruits on plastic or steel mesh racks, allowing the latex to drip for 30 minutes under shade.",Nīkwanīka maembe kīruru-inī matuo na njīra ya kūmainamia igūrū wa iratathi rīa mūnyore kana rūtara-inī rwa steel kwa ihinda rīa dagīka mīrongo ītatū nīguo maniare maathina.
What is trimming during harvest of mangoes?,Gūtema mīembe hīndīya magetha nīkuuga atīa?
At harvesting fruit is clipped from the tree to leave 3 to 4 cm stalk attached to the fruit which is later reduced (trimming) to 1cm during final packing,"Hīndī ya gūtuo, maembe matigithanagio na mūtī na njīra ya kūrenga kamūtī karīa kacinyitithanītie gagatigwo kari na ūraihu wa sentimita 3-4 iembe-inī karīa gacokaga kūnyihio gagatigwo karī na ūraihu wa sentimita īmwe."
How do you identify mature fruits?,Maembe makūrū mamenyekaga atīa?
1. Fruit shape- mature fruit have flat shoulders at the stem end and full cheeks (Ngowe).,1. Mūhianīre wa iembe– iembe ikūrū rīkoragwo rīrī na ciande njigananu mwena wa mūti-inī na makai maiyūru (Ngowe).
"2. Fruit Peel appearance-peel has white powdery substance, peel color change from dark green to pale green",2. Mūhianīre wa ikoro – ikoro rīgakorwo na mūtutu mwerū na rangi ūkagarūrūka kuuma grini nduru nginya ngirini hunyūku.
3. Fruit pulp - pulp color change from white to light creamy yellow.,3. Ngogoyo ya iembe-Ngogoyo īcenjagia kuuma rangi mwerū nginya rangi wa kīrimū.
4. Built shoulders- slight depression near the stalk in mature fruit (Apple).,4. Ciande njakīku wega– Maembe mūthemba wa Apple magīaga na kariko kanini mwena ūrīa menyiterīire kūrī mūti.
What is the maturity period of mangoes?,Maembe makūraga na ihinda rīigana atīa?
It takes 95 to 115 day from flowering to fruits maturity,Mayoga thikū 95-115 kuuma maruta kīro nginya iembe gūkūra.
When to harvest mangoes?,Maembe magethagwo rī?
Harvesting starts 3-4 years after transplanting.,Magethagwo kwambīrīria mwaka wa gatatū nginya wa kana kuuma marutwo natharī-inī.
Fruits are ready 3-5 months from flowering depending on the variety.,Mīthemba ngūrani ya maembe īkūraga thutha wa mīeri ītatu nginya ītano kuuma rīrīa mūtī waruta kīro.
Fruit should be clipped from the tree leaving 3 to 4 cm stalk attached to the fruit which is later reduced to 1 cm,Maembe matuagwo magītīgagīrio kamūti karī na ūraihu wa sentimita ithatū nginya inya karīa thutha-inī gakūhīhagio gagatigio karī ka sentimita īmwe.
Best way to harvest mangoes fruits?,Hihi njīra njega ya kūgetha maembe nī īrīkū?
Use harvesting tools to help protect fruits at harvesting.,Hūthīra indo iria ciagīrīire nīguo ūgitīre maembe ūkigetha.
"Use a basket on a long pole with a cutting tool attached, any blades used for harvesting should be sharpened regularly to minimize damage to the fruit and tree.",Hūthīra gīkabu kīohereirwo rūbito-inī rūraihu hamwe na kahiū ga gūtua karīa karīnoragwo kaingī nīguo itunda kana mūtī ndūgatihio.
Proper training before harvesting is key to using harvesting tool correctly.,Nīūndū wa bata gūthomithia atui ūrīa mabatiī kūhūthīra indo cia gūtua.
Harvest fruits early in the day to keep them cool and reduce water loss.,Maembe mendaga kugethwo rūci-inī tene nīguo maikare marī mahehu na matigate maaī.
Why does mango turn black after cutting?,Maembe mairaga nīkī matuo?
Trapped inside the tissue of fruits are molecules known as enzymes.,"Thīinī wa matunda, nīkūrī tūindo tūītagwo enzymes."
These enzymes help fruit ripen and turn brown.,Enzymes nīcio itumaga matunda meruhe na magaruruke rangi matuīke ma gītīri.
"When fruit is cut or starts to break down, the enzyme is released from the tissue of the fruit and exposed to air which causes the fruit to rapidly change color.","Itunda rīngī temwo kana rīngīambīrīria kūbutha, enzymes irekagīrīrio kuuma thīinī wa itunda igatukana na rīera, igatūma itunda rīgarūrūke rangi naihenya."
This is known as enzymatic browning,Ūndū ūyū wītagwo enzymatic browning.
How do you control fruit cracking in mangoes?,Gwatūka kwa maembe kūngīrigīrīrio atīa?
"Pre-harvest sprays of naa, potassium and boron and maintaining adequate soil moisture during the dry period were found to be beneficial in reducing cracking in fruit crops.","Kūhūra dawa ta naa, potassium na boron mbere ya kūgetha na kūreka tīīri ūige wūigū rīrīa kūrī na riūa ihiū nīkūonekanīte kūrehe ūguni mūnene harī kūgiria maembe gwatūka."
What is the best suitable nursery for growing mangoes?,Natharī īrīa njega ya kūhurīra maembe īhana atīa?
"To select a suitable nursery site, many factors must be considered the most important being mother block, size, water, soil, slope and access.","Gūthura handū hega ha gūthondeka natharī, no mūhaka ūrore maūndū maingī mamwe marīa ma bata meta ūnene wa mūgūnda, gūkūhīrīria maaī, tīīri, o na kūharūrūka kwa mūgūnda."
This determines the success or failure of a plant nursery:,Nīkī kīngīrehe kūgaacīra kana kwaga kūgaacīra kwa natharī?
- A nursery should be isolated as far as possible from existing commercial planting and should be accessible,Natharī ībatiī kūraihanīrīria na mīgūnda īrīa īkūragio maembe ma biacara na ningī īkorwo handū harakīnyīrīka.
- Movement of vehicles and personnel through the nursery should be limited,Gūcera kwa ngari na andū thīinī wa mūgūnda wa natharī gūbatiī kūnyihanyihio.
- No foreign materials should be allowed into the nursery without proper precautions,Indo ng'eni itigetīkīrio kūingīra mūgūnda-inī wa natharī itathuthurītio wega.
- Tools and equipment should frequently be sterilized,Indo ciothe cia kūruta wīra ciagīrīirūo gūtherio wega maita maingī.
- The nursery should be built on a gentle slope to avoid flooding,Natharī yagīrīirwo gūthondekwo handū hainamu hanini nīguo ndīkaihūre maaī ma mbura.
"- Water should be available and free of harmful pathogens, nematodes and fungi",Maaī makorwo hakuhī na matigakorwo na tūtambi kana njamuthi.
How to selection and manage mother plants of mangoes,ūrīa ūngīthuura na gūtungata mīmera īrīa īhūthagīrūo gūciarithania maembe?
"Prior to seed collection, one needs to select and mark good mango mother trees to use as sources of high quality seed and scions.","Mbere ya gūthura mbeū, mūndū nīarabatara gūthura na gūīkīra rūūri mītī īrīa mīega īrīhūthagīrwo kūruta mbeū na mīrūri ya gūciarithania."
The major characteristics of a good mother tree are:,Ngumo iria nene cia mūtī mwega wa gūciarithania nī hamwe na:
- Mature,-Gūkūra kwa mūtī
-  Free of pests and diseases,-Ndūrī na tūtambi na mīrimū
- Vigorous,-Gūkūra na hinya
- True-to-type,-Nī mūthemba ūrīa wagīrīire
- High yielding,-Gūciara mūno
How to manage and control mango weevil?,Njīra ya kūhiūrania na mboca cia iembe nī īrīkū?
"Females lay eggs on young fruit which hatch to the larva that enters the fruit by burrowing through the flesh into the seeds, where it feeds until pupation, destroying the seed, leading to premature fruit fall.",Mboca ya nga īrekagīria matumbī maembe-inī marīa macarīkio matuīkaga tūgunyū tūrīa tūingīraga itunda-inī na kūrīrīa nginya rīkagwa rītarī rīrakūra
"Attack remains undetected in the field, and is seen when cutting the fruit.",Ūndū ūyū wūikaraga ūtamenyekete ūrimi-inī nginya ihinda rīa kūgetha itunda rīkinye
"Cultural control
-Collect fallen fruits and destroy by burying or burning",Gūthaitīra mūrimu ūyū na njīra cia kīīmerera.ūngania matunda maya na ūmathike kana ūmacine
-Paint the tree trunk with agriculture lime at flowering to prevent the pest from climbing,Haka mīmera yaku ndimū hīndīya  kīro nīgetha kūrigīriria tūtambi tūtū gūtamba mūmera
-Applying sticky bands at the upper end of tree trunks when the trees start flowering to reduce migration of weevils to branches for egg laying.,Haka ngamu mīthia-inī ya gītina hīndī īria mūmera waambīrīria kūruta kīro nīgetha kūrigīriria tūtambi tūtū gūtamba ona kana gūthama kuuma rūhonge-inī rūmwe nginya rūria rūngi
"Chemical control
-Spray insecticides before flowering and fruit set and repeat every 14 days interval use; Abamectin, Deltamethrin, Lambda cyhalothrin, Acetamiprid Emamectin","Gūthaitīra na dawa.Huhīra mīmera yaku ītarutīte kīro na ūcokere thutha wa thikū ikūmi na inya ūkīhūthiraga dawa ta Abamectin, Deltamethrin Lambda cyhalothrin,Acetamiprid Emamectin"
How to manage and control mango Gall fly?,Ingīrūa atīa na ngi mūthemba wa gall fly ya maembe?
The pest causes the leaf to produce wart-like galls resulting to reduced photosynthesis.,Tūtambi tūtū tūhumbīraga mathangū na galls ūndū urīa ūgiragīa ūthondeki wa īrio guthiī na mbere wega.
Severe infestation can result to total defoliation.,Tūtambi tūngīgumīra mūmera wīwothe nīkuuga mūtī ūcio ndūkanahota gwīthondekera irio.
Adult fly lays eggs on the young leaf tissues.,Ngi ng'ima irekagia matumbī mathangū-inī marīa matarī makūrū.
Once the eggs hatches the larvae burrow in the leaf and gall formation begins in 7 days.,Matumbī macarīkaga igunyū iria cingīraga mathangu-inī na thutha wa thikū 7 gall ikambīrīria gwīthondeka.
Control: Spray Lexus® 247SC 8 ml/20l + Integra® 3 ml.,Uthūthīri wa dawa. Huhīra mīmera na dawa ya Lexus®247SC 8ml itukanīte na lita 20 cia maaī na wongerere Integra® 3ml
Note: Proper timing is very crucial and this should be done at the onset of flushing.,Ririkana kūhuhira ihinda rīrīa rīagīrīire mīembe īkīambīrīria kūruta kīro nīūndū nīguo ūndū ūria ūrehaga maumīrīra mega.
How to manage and control Mealybugs?,Hihi ingīrūa na tūtambī mūthemba wa mealybugs atīa?
They are tiny soft bodied insects which tend to mass together in to a cottony looking mass on mango plants.,Tūtū nī tūtambi tūkoragwo twītūhoro na tūikaraga handū hamwe na tūkahana ta bamba mūtī-ini wa mūembe
They are sucking pests and their feeding activities cause slow plant growth and can kill twigs and new leaves.,Tūtambi tūtū tūnyuaga maaī ma mūmera ūndū ūrīa ūtūmaga mūti gūkūra kahora
"Heavy infestation lead to sooty mould on leaves, fruits and twigs as a result of honeydew produced.","Tūtambi tūtū tūngikorwo tūrī tūingī tūhumbagīra mathangū, matunda na tūhonge ūndū ūria ūtūmaga hakorwo na wūigū (honey dew)"
Control: Spray Emerald® 200SL 10 ml/20l or Lexus® 247SC 8 ml/20L plus Integra® 3ml/20L.,Kūhūthīra dawa: Huhīra dawa ya Emerald® 200SL 10ml itukanītion lita-inī 20 cia maaī kana Lexus ® 247AC 8ml lita-inī 20 cia maaī.
How to manage and control Mango scales?,Hihi ingīrūa na ngūci atīa?
They are limpet-like insects with shell-like waxy covering which conceals their body.,Tūtū nī tūtambi tūkoragwo tūhana ta twīna kīndū gītūhumbīire
They feed by sucking the plant sap hence robbing plants their essential nutrients.,Tūtambi tūtū tūnyuaga juice irīa īkoragwo īkūīte irio cīa mūmera
They weaken or even kill the plant especially at the early stages.,ūndū ūyū nīwagithagia mūmera hinya kana ona kūūraga makīria rīrīa ūrī mūnini.
Control: Spray Emerald® 200SL 10 mls/20L or Loyalty® 700 WDG 5 g/20L with Integra® 3 ml.,Kūhūthīra dawa:Huhīra dawa ya Emerald ® 200 SL 10mls ītukanītio lita-inī 20 cia maaī kana Loyalty ®700 WDG 5g harī Lita 20 na interga ® 3ml
How to manage and control Thrips in mangoes?,Ingīrūa na tūtambi mūthemba wa thrips mīembe-inī atīa?
"Thrips are slender, minute insects with fringed wings and unique asymmetrical mouth parts.",Thrips nī tūtambi tūkoragwo na mathagu marī na mīthia īna guaya na kanua karī na mūthece
They cause damage to plants by puncturing and sucking their contents.,Tūthūkagia mūmera na njīra ya gūtūra na kūnyua maaī ma mūtī
They lead to flower abortion and scaring rusty appearance on fruits.,Tūtūmaga mūmera wūite kīro narīo ikoro rīkahunyūka.
Control: Spray Alonze® 50EC 5 ml/20L or Lexus® 247SC 10 ml/20L plus Integra® 3ml/20L,Kūgitīra: Huhīra dawa ya Alonze®50EC 5ml ītukanītio na lita 20 cia maaī kana Lexus ®700WDG 5 na ūtukanie na Integra ® 2ml harī lita 20 cia maaī.
How to manage and control Red spider mites?,Ingīrūa na tūtambi mūthemba wa mbūmbūī ndūne atīa?
They are members of acari family.,Tūtū nī tūtambi twa mbarī ya mbūmbūī.
They generally live on the underside of the leave.,Tūikaraga mwena wa nathī wa ithangū
May spin protective silk web.,No tūthondeke rūrenda rwa kwīgitīra.
They cause damage by puncturing plant cells and scarring the young fruit.,Tūthūkagia mūmera na njīra ya gūtūra na gūīkīra ngūraro matunda marīa manini.
Control: Spray Alonze® 50EC 5 ml/20 + Integra® 3 ml/20l.,Ūhūthīri wa dawa: Huhīra dawa mīthemba ya Alonze ® 50EC ūtūkanītie mililita ithano lita-inī 20 cia maaī na wongerere Integra ® mlilita 3.
How to manage and control Mango fruit fly?,Ingīrūa na kīhuruta gīa maemba atīa?
Female fruit flies puncture the skin of mature ripe fruit and lay eggs that hatch into maggots (larvae) that feed on flesh destroying the fruit.,Kīhuruta kīa nga gītūraga ikoro rīa itunda rīrīa ikūrū na kūrekia matumbī thīinī marīa macokaga magacarīka igunyū iria īrīaga itunda na kūrībuthia.
The affected fruit fall prematurely.,Itunda rīrī rīcokaga rīkagwa rītarī ikūrū.
The female fly lays eggs under the skin of mango fruit.,Tūtambi tūtū turekagia matumbī ngothi-inī ya itunda
Eggs hatch into whitish maggots which feeds on the fruit.,Matumbī maya macarīkaga igunyū njerū iria irīaga matunda.
This leads to rotting of the fruits.,Ūndū ūyū ūtūmaga itunda rībuthe.
Fruit flies are currently the most important pests of mangoes.,"Ihinda-inī rīrī, ihuruta nītuo tūtambi twamwanya ūrīmi-inī wa mūembe tūrīa tūbatiī kūrūo na tūo."
"Control: An integrated approach should be employed to manage the pest, keeping the orchard clean and use of pheromone traps are some of the methods.","Kūgitīra: Ūrabatara kūrūmīrīra mītaratara nīgetha wone maumīrīra mega, wambere tigīrīra atī mūgūnda waku nī mūtheru na wūige mitego ya tūtambi."
"Chemical control: Spray Pentagon® 50 EC 10 ml/20l, Lexus® 247SC 8 ml/20l or Occasion Star® 200SC 5 ml/20l plus Integra® 3ml.","Ūhūthīri wa dawa.Hūhira Pentagon®50 EC mililita 10 ūtukanītie na lita 20 cia maaī,Lexus®247 SC mililita 8 lita-inī 20 cia maaī, kana Occassion star®200SC milita 5 lita-inī 20 cia maaī na ūtukanie na Integra ® 3ml"
How to manage and control powdery mildew?,Kūrūa na mūrimū wa powdery mildew.
"Affects leaves, and flowers of mango plants.",Mūrimū ūyū ūgūmagīra mathangū na kīro kīa mīembe.
Usually starts off as white spots.,Waambagīrīria na karoro kanini kerū.
Affected plants look as if they have been dusted with white substance.,Mītī īrīa īgūmīirwo īhanaga ta īitīīrīirio mūhu mwerū
"Infected plant show patches of white powdery fungal growth on leaves, flowers and young fruits, old leaves and fruit display purple-brown cast.","Mītī īrīa īgūmīirwo yonanagia tūroro twerū mathangū-inī, matunda-inī na mahua-inī namo mathangū marīa makūrū mokoragwo na rangi wa purple na gītīri."
"-This fungus appears mostly in warm, humid weather.",Mūrimū ūyū wūingīhaga rīrīa ūrugarī na ūgūnyu ciaingīha rīera-inī.
"In severe attacks, the entire blossom panicle may be involved and fruit fail to set (affecting yields).",Mūrimū ūyū ungītherema mūno nīūnyihagia maciaro ma mūtī.
They lead to defoliation of young leaves and severe flower abortion if not controlled.,Mūrimū ūyū ūtumaga mathangū marīa manini magaitīka hamwe na mahūa ūngīaga kūgirio gūtherema.
"Control: Spray Absolute® 375SC 10 ml/20L, Ransom® 600WP 10 g/20L, or Ducasse® 250EW 20 ml/20L with Integra® 3ml/20L.","Ūhūthīri wa dawa.Huhīra Absolute ®375 SC mililita 10 ūtukanītie na lita 20 cia maaī, Ransom® 600WP gramu 10 hari lita 20 kana Ducasse® 250 EW mililita 20 harī lita 20 cia maaī na ūtukanie na Integra ® mililita 3 harī o lita 20 cia maaī."
How to manage and control Anthracnose,Ingīhūrana atīa na mūrimū wa Anthracnose?
"It’s a fungal infection which may affect the stem, leaves, flowers or even the fruit.","ūyū nī mūrimū wa fungal na ūgūmagīra honge, mathangū, mahūa kana matunda."
"It is characterized by dark sunken lesions on ripe fruits, sunken chlorotic lesions on leaves or drying up of flowers.","Ūmenyekaga nīūndū wa ironda horokeru matunda-inī marīa meru, mathangū-inī na mahūa kūūma."
Control: Ransom® 600WP 10 g/20l or Absolute® 375SC 10 ml/20l + Integra® 3ml,Ūhūthīri wa dawa.Huhīra Ransom ® 600WP gramu 10 harī lita 20 cia maaī kana Absolute ® 375SC mililita 10 lita-inī 20 cia maaī na ūtukanie na Integra ® mililita 3.
How to manage and control Die Back in mango?,Ingīhūrana atīa na mūrimū wa mīembe kūūma īrutītie mīthia-inī?
This disease is characterized by drying up of twigs from top to bottom of particular older Plants followed by drying of the leaves which give an appearance of fire scorch.,Mūrimū ūyū ūmenyekaga na njīra ya honge kūūma īrutītie mīthia-inī makīria ya mītī īrīa mīkūrū na kūrūmīrīrwo nī mathangū marīa mahanaga tarī mahīu nī mwaki.
"If left uncontrolled, dieback can lead to death of the whole tree.","Mūrimū ūyū ūngīaga kūhūranwo nagwo, nīūtūmaga mūtī ūūme ūrī wothe."
Control: Prune the affected twigs 3 inches below infection site and spray Green Cop® 500WP 50 g/20L or Trinity Gold® 452WP 50 g/20L.,Ūgitīīri.Ceha thari ciothe īrī na ūraihu wa inji 3 na ūhuhīre dawa mūthemba wa cop®500WP ūtukanītie gramu 50 lita-nī 20 cia maaī kana Trinity Gold® 425WP gramu 50 thīinī wa maaī lita 20.
Which is the leading county producer of mangoes in Kenya,Nī county īrīkū itongoretie ūkūria-inī wa maembe kenya?
"The leading mango producing counties are: Makueni, Lamu, Kilifi, Meru, Kitui, Tana River, Kwale, Machakos, Elgeyo Marakwet, Siaya, Migori, Baringo, Bungoma, Embu, Tharaka Nithi, Kirinyaga, Muranga, Taita, Taveta, Garissa counties","County irīa itongoretie ūrīmi wa maembe nī Makueni, Lamu, Kilifi, Meru, Kitui, Tana River, Kwale, Machakos, Elgeyo Marakwet, Siaya, Migori, Baringo, Bungoma, Embu, Tharaka Nithi, Kirinyaga, Murang'a, Taita Taveta, na Garissa"
What is the recommended spacing for Mango Farming,Ubatiī kūhanda mīembe na wariī wa mūigana ūrīkū kuuma harī mūembe ūmwe nginya harī ūrīa ūngī?
"The spacing varies from 10 X 10 M to 13 X 13 M. In dry areas, the spacing should be 10 X 10 M due to less growth.","Wariī wa mita 10 gwa 10  nginya mita 13 gwa 13. Matūra-inī marīa matonaga mbura nyingī, ūtaganu wa mita 10 x 10 nīgūo wagīrīire nīundū wa mītī kwaga kūneneha."
"But, in heavy rainfall area & fertile soil, the spacing should be 13 X 13 M due to higher physical growth.","No kūndū kūrī mbura nyingī na tīīri mūnoru, kūbatiī wariī wa mita 13 gwa 13 nīundū wa kūneneha mūno."
Do mango spacing depends on the variety?,Hihi ūtaganu wa kūhanda wa mīembe nīūringanaga na mūthemba wa mūembe?
"Depending on varieties and the area climatic conditions, spacing of 8 -12m × 8-12m is recommended giving a population of 36 – 70 trees per īka.","Kūringana na mūthemba wa mīembe na rīera rīa itūra, ūtaganu wa mita 8-12 kwa mita 8-12 nīguo wagīrīire itina 36 nginya 70 o īka."
How to plant a mango tree?,Ubatiī kūhanda mīembe atīa?
"The ideal period to plant a mango tree is during the months of March, April, and May when the climate is moderate.","Ihinda rīega rīa kūhanda mīembe nī mweri wa gatatū, wa kana na wa gatano rīrīa gūtarī mbura nene kana riūa rīingī."
"Nevertheless, it’s crucial to ensure that the mango tree is not susceptible to any frost during the planting process.",Ningī ndukariganīrwo nīwagīrīire gūtigīrīra atī mītī ndīragūmīrwo nī mīrimū ya heho hīndī ya kūhanda.
"Selecting a Planting Site: Mango trees prefer a sunny spot with loose, well-draining soil.",Gūthura handū ha kūhanda mīembe: Handū haha habatiī gūkinyīrwo nī riūa na hakorwo na tīīri ūraikūrūkia maaī wega.
"Consider the tree’s mature size when selecting a planting site, and note the site’s proximity to other plants and structures.","Nīwega kūmenya mūembe ūkaigana atīa warīkia gūkūra, ona ningī kūmenya ūrīa ūgakorwo ūraihanīrīirie na mīmera īrīa īngī na mīako."
"Container growth is an option for the smaller mango tree varieties Spacing, Depth, and Support:","Kūhanda mīkebe-inī nīkwega na mīembe īria ītaraihaga muno, ītarī mīri mīriku na ītabataraga gūtirīrīrwo."
Spacing depends on the mango variety you’re growing.,ūtaganu ūringanaga na mūthemba wa mūembe
"Check the mature canopy width, along with the height, to make sure you’ll have enough room to grow your tree.",Rora ūraihu wa mūmera ūrīa ūrahanda nīgetha ūmenye mūigana wa ūtaganu ūrīa ūkūhanda naguo
